47,"Shakib Al Hasan
Kolkata Knight Riders",43,42,153.3,1101,43,3/17,25.6,7.17,21.41,0,0
48,"Karn Sharma
Mumbai Indians",51,51,157.2,1233,43,4/38,28.67,7.83,21.95,1,0
49,"Yusuf Pathan
Kolkata Knight Riders",147,79,187.2,1385,42,3/11,32.97,7.39,26.76,0,0
50,"Jasprit Bumrah
Mumbai Indians",44,45,163,1339,41,3/13,32.65,8.21,23.85,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
51,"Rahul Sharma
Chennai Super Kings",44,44,154.4,1086,40,3/13,27.15,7.02,23.2,0,0
52,"Iqbal Abdulla
Royal Challengers Bangalore",49,48,153.2,1109,40,3/24,27.72,7.23,23,0,0
53,"Shanthakumaran Sreesanth
Rajasthan Royals",44,44,146.4,1194,40,3/29,29.85,8.14,22,0,0
54,"Parvinder Awana
Kings XI Punjab",33,33,124.3,1029,39,4/34,26.38,8.26,19.15,1,0
55,"Moises Henriques
Sunrisers Hyderabad",56,54,147.2,1232,38,3/16,32.42,8.36,23.26,0,0
56,"Varun Aaron
Kings XI Punjab",42,40,140.4,1219,38,3/16,32.07,8.66,22.21,0,0
57,"Doug Bollinger
Chennai Super Kings",27,27,96,693,37,4/13,18.72,7.21,15.56,1,0
58,"Manpreet Gony
Gujarat Lions",44,44,148,1287,37,3/31,34.78,8.69,24,0,0
59,"Shahbaz Nadeem
Delhi Daredevils",54,52,183.4,1307,36,3/16,36.3,7.11,30.61,0,0
60,"Yuvraj Singh
Sunrisers Hyderabad",119,71,142.5,1054,36,4/29,29.27,7.37,23.8,2,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
61,"Pradeep Sangwan
Gujarat Lions",37,37,127.4,1119,35,3/18,31.97,8.76,21.88,0,0
62,"Mitchell Starc
Royal Challengers Bangalore",27,26,96.4,693,34,4/15,20.38,7.16,17.05,1,0
63,"Kevon Cooper
Rajasthan Royals",25,25,96,757,33,4/26,22.93,7.88,17.45,1,0
64,"Nathan Coulter-Nile
Kolkata Knight Riders",24,23,86.5,684,32,4/20,21.37,7.87,16.28,1,0
