Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
249,"Mitchell McClenaghan
Mumbai Indians",39,14,7,51,20,7.28,33,154.54,0,0,2,5
250,"Raiphi Gomez
Pune Warriors India",13,9,4,50,26*,10,51,98.03,0,0,5,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
251,"Amit Paunikar
Sunrisers Hyderabad",5,5,0,49,20,9.8,58,84.48,0,0,9,0
252,"Amit Yadav
Kings XI Punjab",8,6,1,49,16,9.8,39,125.64,0,0,5,2
253,"SB Bangar
Deccan Chargers",12,8,1,49,17*,7,58,84.48,0,0,1,3
254,"Jagadeesha Suchith
Mumbai Indians",14,6,5,48,34*,48,32,150,0,0,4,2
255,"Yashpal Singh
Kochi Tuskers Kerala",8,4,0,47,20,11.75,66,71.21,0,0,5,0
256,"Harshal Patel
Royal Challengers Bangalore",35,14,5,47,10,5.22,34,138.23,0,0,2,3
257,"Nathan Coulter-Nile
Kolkata Knight Riders",24,12,4,46,9,5.75,46,100,0,0,3,3
258,"Varun Aaron
Kings XI Punjab",42,10,6,46,17*,11.5,55,83.63,0,0,2,2
259,"Chris Woakes
Kolkata Knight Riders",13,7,3,46,18,11.5,47,97.87,0,0,4,1
260,"Ishant Sharma
Kings XI Punjab",75,21,16,44,9,8.8,53,83.01,0,0,3,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
261,"Sunny Singh
Kings XI Punjab",6,5,1,43,20,10.75,31,138.7,0,0,6,1
262,"Ishank Jaggi
Kolkata Knight Riders",5,5,1,43,25,10.75,58,74.13,0,0,3,0
263,"Jimmy Neesham
Kolkata Knight Riders",4,3,0,42,22,14,46,91.3,0,0,3,1
264,"Adrian Barath
Kings XI Punjab",3,3,1,42,33,21,42,100,0,0,5,1
265,"Siddharth Trivedi
Rajasthan Royals",76,15,8,42,9,6,59,71.18,0,0,3,1
266,"Ashish Nehra
Sunrisers Hyderabad",88,22,15,41,22*,5.85,62,66.12,0,0,3,1
267,"LPC Silva
Deccan Chargers",3,3,1,40,23*,20,26,153.84,0,0,5,1
268,"Ben Dunk
Mumbai Indians",3,3,0,40,20,13.33,35,114.28,0,0,7,0
269,"Munaf Patel
Gujarat Lions",62,14,9,39,23*,7.8,40,97.5,0,0,5,0
270,"Asad Pathan
Royal Challengers Bangalore",8,7,2,39,14,7.8,23,169.56,0,0,5,2
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
271,"Dominic Thornely
Mumbai Indians",6,4,2,39,30,19.5,53,73.58,0,0,2,2
272,"Umar Gul
Kolkata Knight Riders",6,4,1,39,24,13,19,205.26,0,0,1,5
273,"Jason Holder
Kolkata Knight Riders",11,5,0,38,16,7.6,31,122.58,0,0,4,2
274,"Sheldon Jackson
Kolkata Knight Riders",4,3,1,38,16,19,31,122.58,0,0,5,0
275,"Sumit Narwal
Kolkata Knight Riders",7,4,1,37,23,12.33,27,137.03,0,0,6,0
276,"Kane Richardson
Royal Challengers Bangalore",14,4,1,36,26,12,39,92.3,0,0,2,1
277,"Lakshmipathy Balaji
Kings XI Punjab",73,15,7,36,15,4.5,49,73.46,0,0,2,1
278,"Joginder Sharma
Chennai Super Kings",16,6,2,36,16*,9,30,120,0,0,1,2
279,"Sohail Tanvir
Rajasthan Royals",11,5,2,36,13,12,29,124.13,0,0,3,1
280,"Bodapati Sumanth
Deccan Chargers",5,4,3,35,16,35,37,94.59,0,0,3,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
281,"Anil Kumble
Royal Challengers Bangalore",42,17,14,35,8,11.66,47,74.46,0,0,3,0
282,"Abhimanyu Mithun
Sunrisers Hyderabad",16,8,3,34,11,6.8,26,130.76,0,0,4,1
283,"Aditya Dole
Rajasthan Royals",3,2,0,34,30,17,22,154.54,0,0,3,1
284,"Luke Ronchi
Mumbai Indians",5,5,0,34,13,6.8,34,100,0,0,6,1
285,"Shanthakumaran Sreesanth
Rajasthan Royals",44,14,10,34,15*,8.5,55,61.81,0,0,6,0
286,"Anureet Singh
Kings XI Punjab",20,7,3,33,15,8.25,43,76.74,0,0,2,1
287,"Dinesh Salunkhe
Rajasthan Royals",6,3,1,33,26*,16.5,24,137.5,0,0,5,0
288,"Robin Peterson
Mumbai Indians",5,5,2,32,16*,10.66,30,106.66,0,0,3,1
289,"S Sriram
Delhi Daredevils",2,2,0,31,27,15.5,36,86.11,0,0,3,0
290,"Rahul Tewatia
Kings XI Punjab",6,2,1,31,16,31,21,147.61,0,0,3,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
291,"Tatenda Taibu
Kolkata Knight Riders",3,3,0,31,15,10.33,26,119.23,0,0,3,0
292,"Colin Munro
Kolkata Knight Riders",4,3,0,30,16,10,30,100,0,0,3,0
293,"Vijay Zol
Royal Challengers Bangalore",3,2,0,29,16,14.5,26,111.53,0,0,3,1
294,"Syed Mohammad
Royal Challengers Bangalore",11,5,3,29,13*,14.5,26,111.53,0,0,4,0
295,"Shadab Jakati
Gujarat Lions",59,8,7,28,13,28,29,96.55,0,0,3,0
296,"Basil Thampi
Gujarat Lions",12,5,5,28,13*,-,28,100,0,0,1,1
297,"JM Kemp
Chennai Super Kings",5,2,0,26,22,13,24,108.33,0,0,1,1
298,"Sandeep Sharma
Kings XI Punjab",55,12,11,26,7,26,35,74.28,0,0,1,0
299,"Mohammed Shami
Delhi Daredevils",38,15,7,26,7,3.25,42,61.9,0,0,1,1
300,"Ashok Dinda
Rising Pune Supergiant",78,17,7,26,7,2.6,48,54.16,0,0,2,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
301,"Nathan McCullum
Sunrisers Hyderabad",2,2,1,26,15,26,22,118.18,0,0,0,1
302,"Shivnarine Chanderpaul
Royal Challengers Bangalore",3,3,0,25,16,8.33,31,80.64,0,0,4,0
303,"Aniket Choudhary
Royal Challengers Bangalore",5,3,2,25,15*,25,20,125,0,0,1,1
304,"Pradeep Sangwan
Gujarat Lions",37,12,7,24,6*,4.8,34,70.58,0,0,1,0
305,"MA Khote
Mumbai Indians",4,3,1,24,9,12,22,109.09,0,0,2,1
306,"Eklavya Dwivedi
Sunrisers Hyderabad",4,2,0,24,19,12,14,171.42,0,0,2,2
307,"Shahbaz Nadeem
Delhi Daredevils",54,17,6,24,6,2.18,64,37.5,0,0,1,0
308,"J Arunkumar
Royal Challengers Bangalore",3,3,0,23,22,7.66,23,100,0,0,5,0
309,"Nikhil Naik
Kings XI Punjab",2,2,0,23,22,11.5,31,74.19,0,0,1,0
310,"Shaun Tait
Kolkata Knight Riders",21,5,2,23,11,7.66,26,88.46,0,0,1,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
311,"Jeevan Mendis
Delhi Daredevils",3,3,0,23,12,7.66,27,85.18,0,0,0,0
312,"Matthew Wade
Delhi Daredevils",3,3,0,22,11,7.33,33,66.66,0,0,0,0
313,"Brad Hogg
Kolkata Knight Riders",21,6,3,22,13,7.33,22,100,0,0,1,0
314,"Doug Bollinger
Chennai Super Kings",27,4,3,21,16*,21,23,91.3,0,0,1,1
315,"Colin Ingram
Delhi Daredevils",3,3,1,21,13*,10.5,26,80.76,0,0,2,0
316,"Harpreet Singh
Royal Challengers Bangalore",4,3,1,20,13,10,26,76.92,0,0,0,0
317,"Mohammad Hafeez
Kolkata Knight Riders",8,3,1,20,13,10,22,90.9,0,0,2,1
318,"Alfonso Thomas
Pune Warriors India",15,4,2,20,12,10,19,105.26,0,0,1,1
319,"Muttiah Muralitharan
Royal Challengers Bangalore",66,9,3,20,6,3.33,30,66.66,0,0,1,0
320,"RR Raje
Mumbai Indians",10,5,4,20,11*,20,18,111.11,0,0,1,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
321,"Nic Maddinson
Royal Challengers Bangalore",3,3,0,20,12,6.66,21,95.23,0,0,4,0
322,"Akshdeep Nath
Gujarat Lions",5,4,0,20,12,5,28,71.42,0,0,1,0
323,"Damien Martyn
Rajasthan Royals",1,1,0,19,19,19,24,79.16,0,0,1,0
324,"Abhinav Mukund
Royal Challengers Bangalore",3,2,0,19,19,9.5,22,86.36,0,0,1,0
325,"R Bishnoi
Royal Challengers Bangalore",3,3,0,19,18,6.33,17,111.76,0,0,1,2
326,"Pradeep Sahu
Kings XI Punjab",5,2,1,19,18*,19,13,146.15,0,0,1,1
327,"Y Gnaneswara Rao
Kochi Tuskers Kerala",2,1,0,19,19,19,17,111.76,0,0,3,0
328,"Rahul Shukla
Delhi Daredevils",7,4,3,19,14,19,23,82.6,0,0,2,0
329,"Imran Tahir
Rising Pune Supergiant",32,6,2,18,5,4.5,25,72,0,0,3,0
330,"Pravin Tambe
Sunrisers Hyderabad",33,6,4,18,7*,9,39,46.15,0,0,1,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
331,"Darren Lehmann
Rajasthan Royals",2,2,0,18,17,9,18,100,0,0,3,0
332,"Brad Haddin
Kolkata Knight Riders",1,1,0,18,18,18,11,163.63,0,0,2,1
333,"Harmeet Singh Bansal
Kings XI Punjab",27,6,2,18,14,4.5,12,150,0,0,3,0
334,"JJ van der Wath
Royal Challengers Bangalore",3,3,1,18,14*,9,16,112.5,0,0,1,1
335,"Parveez Rasool
Royal Challengers Bangalore",11,5,3,17,10,8.5,20,85,0,0,1,0
336,"Pragyan Ojha
Mumbai Indians",92,23,11,17,4,1.41,45,37.77,0,0,0,0
337,"Vishnu Vinod
Royal Challengers Bangalore",2,2,0,16,9,8,17,94.11,0,0,1,1
338,"Vijay Shankar
Sunrisers Hyderabad",3,2,1,16,15*,16,14,114.28,0,0,1,0
339,"Chamara Kapugedera
Chennai Super Kings",5,3,0,16,8,5.33,23,69.56,0,0,0,0
340,"KC Cariappa
Kings XI Punjab",10,4,1,15,12*,5,18,83.33,0,0,0,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
341,"C Madan
Kochi Tuskers Kerala",1,1,0,15,15,15,19,78.94,0,0,3,0
342,"Yuzvendra Chahal
Royal Challengers Bangalore",55,10,7,15,4*,5,28,53.57,0,0,0,0
343,"GR Napier
Mumbai Indians",1,1,0,15,15,15,16,93.75,0,0,1,0
344,"Sean Abbott
Royal Challengers Bangalore",2,2,0,15,14,7.5,13,115.38,0,0,1,1
345,"Yo Mahesh
Chennai Super Kings",18,5,3,15,6*,7.5,27,55.55,0,0,0,0
346,"Abu Nechim
Royal Challengers Bangalore",10,4,3,14,5*,14,6,233.33,0,0,3,0
347,"Shreyas Gopal
Mumbai Indians",6,3,1,14,11,7,27,51.85,0,0,1,0
348,"Deepak Chahar
Rising Pune Supergiant",5,1,0,14,14,14,6,233.33,0,0,0,2
349,"Farhaan Behardien
Kings XI Punjab",3,3,1,14,9*,7,13,107.69,0,0,2,0
350,"Kushal Janith Perera
Rajasthan Royals",2,2,0,14,14,7,13,107.69,0,0,3,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
351,"Samuel Badree
Royal Challengers Bangalore",12,5,0,13,8,2.6,23,56.52,0,0,0,0
352,"DT Patil
Royal Challengers Bangalore",2,2,0,13,9,6.5,13,100,0,0,1,0
353,"Kyle Abbott
Chennai Super Kings",5,3,2,13,12*,13,8,162.5,0,0,0,1
354,"T Thushara
Chennai Super Kings",6,4,2,12,8,6,18,66.66,0,0,0,0
355,"Ankeet Chavan
Rajasthan Royals",13,3,1,12,7*,6,11,109.09,0,0,2,0
356,"Doug Bracewell
Delhi Daredevils",1,1,1,12,12*,-,9,133.33,0,0,1,0
357,"Karanveer Singh
Kings XI Punjab",9,4,3,12,5*,12,17,70.58,0,0,1,0
358,"Krishnakant Upadhyay
Pune Warriors India",3,2,2,12,11*,-,9,133.33,0,0,0,1
359,"Ankit Bawne
Delhi Daredevils",1,1,1,12,12*,-,12,100,0,0,1,0
360,"Rashid Khan
Sunrisers Hyderabad",12,3,1,11,6*,5.5,9,122.22,0,0,0,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
361,"T Henderson
Rajasthan Royals",2,2,0,11,11,5.5,16,68.75,0,0,0,1
362,"Makhaya Ntini
Chennai Super Kings",9,2,1,11,11,11,18,61.11,0,0,2,0
363,"T Kohli
Kings XI Punjab",4,4,1,11,7,3.66,19,57.89,0,0,0,1
364,"DNT Zoysa
Deccan Chargers",3,2,1,11,10*,11,9,122.22,0,0,1,0
365,"Sachithra Senanayake
Kolkata Knight Riders",8,4,3,10,7*,10,17,58.82,0,0,0,0
366,"Ali Murtaza
Pune Warriors India",12,3,2,10,5,10,14,71.42,0,0,1,0
367,"Kemar Roach
Deccan Chargers",2,1,0,10,10,10,9,111.11,0,0,1,0
368,"D du Preez
Royal Challengers Bangalore",2,1,0,10,10,10,13,76.92,0,0,0,0
369,"Thalaivan Sargunam
Sunrisers Hyderabad",1,1,0,10,10,10,17,58.82,0,0,0,0
370,"Tim Paine
Pune Warriors India",2,2,0,10,8,5,26,38.46,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
371,"Juan Theron
Rajasthan Royals",10,4,2,10,7*,5,12,83.33,0,0,1,0
372,"Siddarth Kaul
Sunrisers Hyderabad",19,4,4,9,7*,-,13,69.23,0,0,0,0
373,"Ashley Noffke
Royal Challengers Bangalore",1,1,0,9,9,9,10,90,0,0,1,0
374,"Jasprit Bumrah
Mumbai Indians",44,6,4,9,6,4.5,15,60,0,0,1,0
375,"SM Harwood
Rajasthan Royals",3,2,2,9,6*,-,14,64.28,0,0,0,0
376,"Tymal Mills
Royal Challengers Bangalore",5,3,0,8,6,2.66,11,72.72,0,0,0,1
377,"Charl Langeveldt
Royal Challengers Bangalore",7,2,0,8,8,4,9,88.88,0,0,0,1
378,"Clint McKay
Sunrisers Hyderabad",2,1,0,8,8,8,15,53.33,0,0,0,0
379,"Jaskaran Singh
Rising Pune Supergiant",8,5,4,8,4*,8,11,72.72,0,0,0,0
380,"Tanmay Srivastava
Deccan Chargers",7,3,2,8,7,8,11,72.72,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
381,"Arindam Ghosh
Kolkata Knight Riders",2,2,0,7,7,3.5,8,87.5,0,0,1,0
382,"Udit Birla
Pune Warriors India",2,1,0,7,7,7,14,50,0,0,1,0
383,"Ankit Soni
Gujarat Lions",6,2,1,7,7*,7,3,233.33,0,0,0,1
384,"Adam Milne
Royal Challengers Bangalore",5,3,1,7,5,3.5,12,58.33,0,0,0,0
385,"Vikramjeet Malik
Royal Challengers Bangalore",13,2,1,7,6,7,7,100,0,0,1,0
386,"Pankaj Singh
Rajasthan Royals",17,5,3,7,4*,3.5,12,58.33,0,0,0,0
387,"Shardul Thakur
Rising Pune Supergiant",10,4,1,7,7*,2.33,9,77.77,0,0,1,0
388,"I Malhotra
Deccan Chargers",1,1,1,7,7*,-,4,175,0,0,1,0
389,"Darren Bravo
Kolkata Knight Riders",1,1,1,6,6*,-,5,120,0,0,1,0
390,"Bhargav Bhatt
Kings XI Punjab",17,2,1,6,6*,6,7,85.71,0,0,0,1
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
391,"Peter Handscomb
Rising Pune Supergiant",2,1,0,6,6,6,12,50,0,0,0,0
392,"SB Joshi
Royal Challengers Bangalore",4,2,0,6,3,3,14,42.85,0,0,0,0
393,"Jayant Yadav
Delhi Daredevils",10,2,0,6,5,3,10,60,0,0,0,0
394,"SS Shaikh
Kolkata Knight Riders",2,1,0,6,6,6,7,85.71,0,0,1,0
395,"Jaydev Unadkat
Rising Pune Supergiant",44,6,5,5,2*,5,13,38.46,0,0,0,0
396,"Shalabh Srivastava
Kings XI Punjab",14,4,3,5,3*,5,5,100,0,0,0,0
397,"Shivam Sharma
Kings XI Punjab",5,2,1,5,4,5,3,166.66,0,0,1,0
398,"Parvinder Awana
Kings XI Punjab",33,7,5,5,4*,2.5,14,35.71,0,0,0,0
399,"Adam Zampa
Rising Pune Supergiant",8,2,0,5,5,2.5,8,62.5,0,0,1,0
400,"Nuwan Kulasekara
Chennai Super Kings",6,1,1,5,5*,-,3,166.66,0,0,1,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
401,"Ben Laughlin
Sunrisers Hyderabad",2,2,1,4,4*,4,9,44.44,0,0,0,0
402,"Amit Uniyal
Rajasthan Royals",2,2,1,4,4*,4,7,57.14,0,0,0,0
403,"VRV Singh
Kings XI Punjab",19,2,0,4,4,2,3,133.33,0,0,1,0
404,"Ajit Chandila
Rajasthan Royals",12,2,2,4,4*,-,7,57.14,0,0,0,0
405,"Dirk Nannes
Chennai Super Kings",29,3,2,4,3,4,13,30.76,0,0,0,0
406,"RS Sodhi
Kings XI Punjab",3,1,1,4,4*,-,2,200,0,0,1,0
407,"Dilhara Fernando
Mumbai Indians",10,2,2,4,2*,-,3,133.33,0,0,0,0
408,"Kuldeep Yadav
Kolkata Knight Riders",14,1,0,4,4,4,7,57.14,0,0,0,0
409,"Glenn McGrath
Delhi Daredevils",14,3,2,4,4*,4,5,80,0,0,1,0
410,"Washington Sundar
Rising Pune Supergiant",8,3,3,4,2*,-,8,50,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
411,"Barinder Sran
Sunrisers Hyderabad",16,4,4,4,2*,-,4,100,0,0,0,0
412,"Kamran Khan
Pune Warriors India",9,2,1,3,3,3,5,60,0,0,0,0
413,"Younis Khan
Rajasthan Royals",1,1,0,3,3,3,7,42.85,0,0,0,0
414,"Chris Jordan
Sunrisers Hyderabad",9,1,0,3,3,3,4,75,0,0,0,0
415,"Ajantha Mendis
Pune Warriors India",10,3,1,3,2,1.5,6,50,0,0,0,0
416,"D Kalyankrishna
Deccan Chargers",3,1,0,3,3,3,8,37.5,0,0,0,0
417,"Mohammad Asif
Delhi Daredevils",8,2,0,3,3,1.5,6,50,0,0,0,0
418,"Ryan Ninan
Royal Challengers Bangalore",2,1,0,3,3,3,6,50,0,0,0,0
419,"Rahul Chahar
Rising Pune Supergiant",3,1,1,3,3*,-,2,150,0,0,0,0
420,"Sudeep Tyagi
Sunrisers Hyderabad",14,3,2,3,3*,3,4,75,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
421,"Suraj Randiv
Chennai Super Kings",8,1,0,2,2,2,4,50,0,0,0,0
422,"Mohammad Nabi
Sunrisers Hyderabad",2,1,0,2,2,2,3,66.66,0,0,0,0
423,"Mashrafe Mortaza
Kolkata Knight Riders",1,1,1,2,2*,-,2,100,0,0,0,0
424,"H Das
Deccan Chargers",1,1,0,2,2,2,5,40,0,0,0,0
425,"RS Gavaskar
Kolkata Knight Riders",2,1,0,2,2,2,8,25,0,0,0,0
426,"Swapnil Singh
Kings XI Punjab",4,2,0,2,2,1,3,66.66,0,0,0,0
427,"Shoaib Akhtar
Kolkata Knight Riders",3,1,0,2,2,2,7,28.57,0,0,0,0
428,"Amit Singh
Rajasthan Royals",23,5,1,2,1*,0.5,10,20,0,0,0,0
429,"KP Appanna
Royal Challengers Bangalore",14,3,2,2,1*,2,4,50,0,0,0,0
430,"Ronit More
Chennai Super Kings",2,1,1,2,2*,-,2,100,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
431,"Mohammad Ashraful
Mumbai Indians",1,1,0,2,2,2,10,20,0,0,0,0
432,"VS Yeligati
Mumbai Indians",2,1,0,2,2,2,2,100,0,0,0,0
433,"Shrikant Wagh
Pune Warriors India",8,2,0,2,2,1,3,66.66,0,0,0,0
434,"Ankit Rajpoot
Kolkata Knight Riders",9,1,1,2,2*,-,6,33.33,0,0,0,0
435,"Nathan Rimmington
Kings XI Punjab",1,1,1,1,1*,-,1,100,0,0,0,0
436,"Domnic Joseph
Delhi Daredevils",6,2,1,1,1,1,3,33.33,0,0,0,0
437,"PM Sarvesh Kumar
Deccan Chargers",2,1,1,1,1*,-,2,50,0,0,0,0
438,"Lockie Ferguson
Rising Pune Supergiant",2,1,1,1,1*,-,1,100,0,0,0,0
439,"DP Vijaykumar
Deccan Chargers",9,2,2,1,1*,-,1,100,0,0,0,0
440,"Beuran Hendricks
Kings XI Punjab",7,3,2,1,1*,1,3,33.33,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
441,"P Parameswaran
Royal Challengers Bangalore",5,1,1,1,1*,-,1,100,0,0,0,0
442,"Marchant de Lange
Mumbai Indians",5,1,0,1,1,1,2,50,0,0,0,0
443,"Shane Bond
Kolkata Knight Riders",8,1,0,1,1,1,2,50,0,0,0,0
444,"Tanmay Mishra
Royal Challengers Bangalore",1,0,0,0,0*,-,,-,0,0,0,0
445,"Gurinder Sandhu
Delhi Daredevils",3,0,0,0,0*,-,,-,0,0,0,0
446,"C Nanda
Mumbai Indians",3,1,0,0,0*,0,1,0,0,0,0,0
447,"Scott Boland
Rising Pune Supergiant",2,0,0,0,0*,-,,-,0,0,0,0
448,"Billy Stanlake
Royal Challengers Bangalore",2,0,0,0,0*,-,,-,0,0,0,0
449,"Gajendra Singh
Rajasthan Royals",4,0,0,0,0*,-,,-,0,0,0,0
450,"Michael Neser
Kings XI Punjab",1,0,0,0,0*,-,,-,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
451,"C Ganapathy
Chennai Super Kings",1,1,1,0,0*,-,,-,0,0,0,0
452,"Mustafizur Rahman
Sunrisers Hyderabad",17,0,0,0,0*,-,,-,0,0,0,0
453,"Murugan Ashwin
Delhi Daredevils",10,1,0,0,0*,0,1,0,0,0,0,0
454,"Rinku Singh
Kings XI Punjab",1,0,0,0,0*,-,,-,0,0,0,0
455,"Veer Pratap Singh
Kolkata Knight Riders",9,1,0,0,0*,0,1,0,0,0,0,0
456,"Shivil Kaushik
Gujarat Lions",10,2,1,0,0*,0,1,0,0,0,0,0
457,"U Kaul
Kings XI Punjab",5,1,1,0,0*,-,1,0,0,0,0,0
458,"Harmeet Singh
Rajasthan Royals",1,0,0,0,0*,-,,-,0,0,0,0
459,"Sunny Gupta
Delhi Daredevils",1,1,0,0,0*,0,1,0,0,0,0,0
460,"SS Mundhe
Pune Warriors India",1,0,0,0,0*,-,,-,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
461,"Ben Hilfenhaus
Delhi Daredevils",17,1,1,0,0*,-,,-,0,0,0,0
462,"Raju Bhatkal
Royal Challengers Bangalore",1,1,0,0,0*,0,2,0,0,0,0,0
463,"Love Ablish
Kings XI Punjab",3,1,1,0,0*,-,2,0,0,0,0,0
464,"Tejas Baroka
Gujarat Lions",1,0,0,0,0*,-,,-,0,0,0,0
465,"Trent Boult
Kolkata Knight Riders",12,0,0,0,0*,-,,-,0,0,0,0
466,"Tabraiz Shamsi
Royal Challengers Bangalore",4,0,0,0,0*,-,,-,0,0,0,0
467,"RV Pawar
Delhi Daredevils",1,0,0,0,0*,-,,-,0,0,0,0
468,"P Amarnath
Chennai Super Kings",6,0,0,0,0*,-,,-,0,0,0,0
469,"Matt Henry
Kings XI Punjab",2,0,0,0,0*,-,,-,0,0,0,0
470,"Aavishkar Salvi
Delhi Daredevils",7,0,0,0,0*,-,,-,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
471,"Nathu Singh
Gujarat Lions",2,0,0,0,0*,-,,-,0,0,0,0
472,"RR Bose
Kings XI Punjab",1,0,0,0,0*,-,,-,0,0,0,0
473,"Kedar Devdhar
Deccan Chargers",1,0,0,0,0*,-,,-,0,0,0,0
474,"YA Abdulla
Kings XI Punjab",11,1,1,0,0*,-,1,0,0,0,0,0
475,"Abrar Kazi
Royal Challengers Bangalore",1,0,0,0,0*,-,,-,0,0,0,0
476,"Krishmar Santokie
Mumbai Indians",2,0,0,0,0*,-,,-,0,0,0,0
477,"Ishwar Pandey
Rising Pune Supergiant",25,1,0,0,0*,0,2,0,0,0,0,0
478,"Mohammed Siraj
Sunrisers Hyderabad",5,0,0,0,0*,-,,-,0,0,0,0
479,"Anand Rajan
Sunrisers Hyderabad",8,0,0,0,0*,-,,-,0,0,0,0
480,"TP Sudhindra
Deccan Chargers",3,1,1,0,0*,-,,-,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
481,"P Prasanth
Kochi Tuskers Kerala",1,0,0,0,0*,-,,-,0,0,0,0
482,"Nayan Doshi
Rajasthan Royals",4,1,0,0,0*,0,13,0,0,0,0,0
483,"RA Shaikh
Mumbai Indians",1,0,0,0,0*,-,,-,0,0,0,0
484,"Andre Nel
Mumbai Indians",1,1,0,0,0*,-,,-,0,0,0,0
485,"Shubham Agarwal
Gujarat Lions",1,0,0,0,0*,-,,-,0,0,0,0
486,"Brett Geeves
Delhi Daredevils",2,0,0,0,0*,-,,-,0,0,0,0
487,"T Natarajan
Kings XI Punjab",6,0,0,0,0*,-,,-,0,0,0,0
488,"Abdur Razzak
Royal Challengers Bangalore",1,1,1,0,0*,-,2,0,0,0,0,0
489,"John Hastings
Kolkata Knight Riders",3,0,0,0,0*,-,,-,0,0,0,0
490,"Sarabjit Ladda
Gujarat Lions",9,2,1,0,0*,0,9,0,0,0,0,0
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
491,"P Dharmani
Kings XI Punjab",1,0,0,0,0*,-,,-,0,0,0,0
492,"Pawan Suyal
Delhi Daredevils",5,0,0,0,0*,-,,-,0,0,0,0
