Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
57,"Venugopal Rao
Sunrisers Hyderabad",65,54,10,985,71*,22.38,836,117.82,0,3,77,37
58,"Andrew Symonds
Mumbai Indians",39,36,9,974,117*,36.07,750,129.86,1,5,74,41
59,"Albie Morkel
Rising Pune Supergiant",91,68,28,974,73*,24.35,686,141.98,0,3,61,55
60,"Moises Henriques
Sunrisers Hyderabad",56,49,16,965,74*,29.24,754,127.98,0,5,86,27
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
61,"Manan Vohra
Kings XI Punjab",45,41,2,957,95,24.53,721,132.73,0,3,95,35
62,"Cameron White
Sunrisers Hyderabad",47,45,9,954,78,26.5,755,126.35,0,6,76,36
63,"Herschelle Gibbs
Mumbai Indians",36,36,4,886,69*,27.68,807,109.78,0,6,83,31
64,"Kedar Jadhav
Kochi Tuskers Kerala",63,56,19,881,69,23.81,653,134.91,0,3,72,32
65,"Eoin Morgan
Kings XI Punjab",51,44,5,850,66,21.79,701,121.25,0,4,71,34
66,"Mayank Agarwal
Rising Pune Supergiant",53,48,2,814,68,17.69,660,123.33,0,3,82,33
67,"Harbhajan Singh
Mumbai Indians",136,84,35,799,64,16.3,561,142.42,0,1,76,41
68,"Manvinder Bisla
Royal Challengers Bangalore",39,39,1,798,92,21,702,113.67,0,4,93,23
69,"Shreyas Iyer
Delhi Daredevils",31,31,3,775,96,27.67,598,129.59,0,6,77,31
70,"Sanath Jayasuriya
Mumbai Indians",30,30,2,768,114*,27.42,532,144.36,1,4,84,39
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
71,"Stuart Binny
Royal Challengers Bangalore",80,58,21,766,48*,20.7,604,126.82,0,0,59,29
72,"Graeme Smith
Pune Warriors India",29,29,3,739,91,28.42,668,110.62,0,4,94,9
73,"Quinton de Kock
Delhi Daredevils",26,26,1,726,108,29.04,549,132.24,1,5,90,21
74,"Lokesh Rahul
Sunrisers Hyderabad",39,30,6,725,68*,30.2,577,125.64,0,4,61,24
75,"Angelo Mathews
Delhi Daredevils",49,42,11,724,65*,23.35,575,125.91,0,1,44,29
76,"Tirumalasetti Suman
Sunrisers Hyderabad",43,40,8,676,78*,21.12,575,117.56,0,2,55,26
77,"Abhishek Nayar
Rajasthan Royals",60,50,12,672,45*,17.68,577,116.46,0,0,55,20
78,"George Bailey
Rising Pune Supergiant",40,37,10,663,61*,24.55,544,121.87,0,2,59,19
79,"Jesse Ryder
Delhi Daredevils",29,29,1,604,86,21.57,458,131.87,0,4,69,19
80,"Axar Patel
Kings XI Punjab",58,42,13,584,44,20.13,453,128.91,0,0,33,27
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
81,"Suryakumar Yadav
Kolkata Knight Riders",53,41,14,581,60,21.51,440,132.04,0,1,53,20
82,"Hashim Amla
Kings XI Punjab",16,16,3,577,104*,44.38,407,141.76,2,3,60,21
83,"Andre Russell
Kolkata Knight Riders",34,25,3,574,66,26.09,331,173.41,0,3,48,37
84,"Ravi Bopara
Sunrisers Hyderabad",24,22,4,531,84,29.5,453,117.21,0,3,39,16
85,"Jos Buttler
Mumbai Indians",24,24,3,527,77,25.09,361,145.98,0,1,50,26
86,"James Faulkner
Gujarat Lions",59,44,20,519,46,21.62,379,136.93,0,0,35,23
87,"Rishabh Pant
Delhi Daredevils",23,23,2,519,97,24.71,339,153.09,0,3,44,28
88,"Corey Anderson
Delhi Daredevils",26,25,7,518,95*,28.77,392,132.14,0,3,40,30
89,"Mithun Manhas
Chennai Super Kings",55,38,15,514,42*,22.34,470,109.36,0,0,43,10
90,"Piyush Chawla
Kolkata Knight Riders",127,68,27,513,24*,12.51,447,114.76,0,0,49,15
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
91,"Owais Shah
Rajasthan Royals",23,22,7,506,76,33.73,389,130.07,0,4,34,23
92,"Paul Valthaty
Kings XI Punjab",23,23,1,505,120*,22.95,418,120.81,1,2,61,20
93,"Shakib Al Hasan
Kolkata Knight Riders",43,32,9,498,66*,21.65,382,130.36,0,2,44,15
94,"Chris Morris
Delhi Daredevils",48,29,17,439,82*,36.58,265,165.66,0,2,33,23
95,"Nitish Rana
Mumbai Indians",17,15,1,437,70,31.21,339,128.9,0,4,31,25
96,"SA Asnodkar
Rajasthan Royals",20,20,0,423,60,21.15,339,124.77,0,2,56,10
97,"Thisara Perera
Rising Pune Supergiant",37,30,8,422,40,19.18,307,137.45,0,0,23,26
98,"James Hopes
Pune Warriors India",21,19,3,417,71,26.06,306,136.27,0,4,49,11
99,"Dan Christian
Rising Pune Supergiant",33,29,7,413,39,18.77,336,122.91,0,0,22,18
100,"Johan Botha
Kolkata Knight Riders",34,28,8,409,67*,20.45,359,113.92,0,1,39,5
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
101,"Laxmi Ratan Shukla
Sunrisers Hyderabad",47,34,7,405,48*,15,350,115.71,0,0,33,16
102,"Ashok Menaria
Rajasthan Royals",29,23,2,401,40,19.09,356,112.64,0,0,24,18
103,"Mark Boucher
Kolkata Knight Riders",31,24,10,394,50*,28.14,309,127.5,0,1,32,13
104,"Cheteshwar Pujara
Kings XI Punjab",30,22,3,390,51,20.52,391,99.74,0,1,50,4
105,"Azhar Mahmood
Kolkata Knight Riders",23,21,2,388,80,20.42,303,128.05,0,2,39,13
106,"Kane Williamson
Sunrisers Hyderabad",14,14,2,387,89,32.25,292,132.53,0,3,33,10
107,"Hardik Pandya
Mumbai Indians",33,30,13,381,61*,22.41,264,144.31,0,1,23,26
108,"Dwaraka Ravi Teja
Sunrisers Hyderabad",32,25,6,375,60,19.73,317,118.29,0,1,35,9
109,"Krunal Pandya
Mumbai Indians",21,16,5,373,86,33.9,223,167.26,0,1,33,18
110,"Deepak Hooda
Sunrisers Hyderabad",40,30,4,373,54,14.34,268,139.17,0,1,20,20
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
111,"Sunny Sohal
Royal Challengers Bangalore",22,20,0,368,62,18.4,292,126.02,0,2,34,18
112,"Rahul Tripathi
Rising Pune Supergiant",11,11,0,360,93,32.72,237,151.89,0,2,39,16
113,"Chris Lynn
Kolkata Knight Riders",9,9,2,348,93*,49.71,219,158.9,0,3,28,20
114,"Praveen Kumar
Gujarat Lions",118,58,21,343,34,9.27,313,109.58,0,0,23,17
115,"Gurkeerat Mann Singh
Kings XI Punjab",30,24,3,342,51,16.28,272,125.73,0,1,36,9
116,"Rajat Bhatia
Rising Pune Supergiant",95,49,19,342,26*,11.4,284,120.42,0,0,24,13
117,"Pawan Negi
Royal Challengers Bangalore",40,28,8,340,36,17,267,127.34,0,0,23,16
118,"Aditya Tare
Delhi Daredevils",35,28,4,339,59,14.12,273,124.17,0,1,40,11
119,"Amit Mishra
Sunrisers Hyderabad",125,50,22,333,31,11.89,359,92.75,0,0,27,4
120,"James Franklin
Mumbai Indians",20,16,5,327,79,29.72,301,108.63,0,1,25,8
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
121,"Ryan ten Doeschate
Kolkata Knight Riders",29,22,8,326,70*,23.28,235,138.72,0,1,26,15
122,"Karn Sharma
Mumbai Indians",51,31,13,311,39*,17.27,259,120.07,0,0,18,14
123,"Debabrata Das
Kolkata Knight Riders",31,22,8,304,35*,21.71,261,116.47,0,0,23,16
124,"Vinay Kumar
Mumbai Indians",102,45,17,304,26*,10.85,271,112.17,0,0,20,9
125,"Luke Pomersbach
Royal Challengers Bangalore",17,16,5,302,79*,27.45,246,122.76,0,1,25,13
126,"Unmukt Chand
Mumbai Indians",21,20,0,300,58,15,300,100,0,1,32,9
127,"Darren Sammy
Kings XI Punjab",22,20,5,295,60,19.66,241,122.4,0,1,15,18
128,"Yogesh Nagar
Delhi Daredevils",26,20,6,284,43*,20.28,259,109.65,0,0,20,9
129,"Ben Stokes
Rising Pune Supergiant",11,10,1,283,103*,31.44,196,144.38,1,1,19,13
130,"VVS Laxman
Kochi Tuskers Kerala",20,20,2,282,52,15.66,267,105.61,0,1,33,5
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
131,"Bharat Chipli
Delhi Daredevils",23,21,6,280,61*,18.66,251,111.55,0,1,28,7
132,"Hanuma Vihari
Sunrisers Hyderabad",22,21,3,280,46,15.55,313,89.45,0,0,23,1
133,"Ashish Reddy
Sunrisers Hyderabad",31,24,9,280,36*,18.66,193,145.07,0,0,16,15
134,"Michael Lumb
Deccan Chargers",12,12,0,278,83,23.16,194,143.29,0,1,45,6
135,"Rajagopal Sathish
Kolkata Knight Riders",34,25,8,270,27*,15.88,231,116.88,0,0,22,6
136,"Sunil Narine
Kolkata Knight Riders",79,30,12,261,54,14.5,170,153.52,0,1,36,11
137,"Mohammad Kaif
Royal Challengers Bangalore",29,22,4,259,34*,14.38,250,103.6,0,0,22,6
138,"Ishan Kishan
Gujarat Lions",15,14,0,258,48,18.42,207,124.63,0,0,29,9
139,"Shreevats Goswami
Rajasthan Royals",23,16,1,241,52,16.06,251,96.01,0,1,26,2
140,"Simon Katich
Kings XI Punjab",11,11,1,241,75,24.1,186,129.56,0,2,26,8
Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
141,"Mohnish Mishra
Pune Warriors India",18,17,1,237,41,14.81,208,113.94,0,0,24,8
142,"Ravichandran Ashwin
Rising Pune Supergiant",111,37,15,231,29,10.5,240,96.25,0,0,22,2
143,"Sam Billings
Delhi Daredevils",11,10,0,226,55,22.6,168,134.52,0,2,23,5
144,"Mitchell Marsh
Rising Pune Supergiant",20,14,2,225,38,18.75,196,114.79,0,0,9,14
